surah_no,surah_name_en,surah_name_roman,ayah_no_surah,ayah_no_quran,ayah_en,ruko_no,juz_no,manzil_no,hizb_quarter,place_of_revelation,sajah_ayah,no_of_word_ayah
1,The Opener,Al-Fatihah,1,1,"In the Name of Allah—the Most Compassionate, Most Merciful.",1,1,1,1,Meccan,FALSE,4
1,The Opener,Al-Fatihah,2,2,"All praise is for Allah—Lord of all worlds,",1,1,1,1,Meccan,FALSE,4
1,The Opener,Al-Fatihah,3,3,"the Most Compassionate, Most Merciful,",1,1,1,1,Meccan,FALSE,2
1,The Opener,Al-Fatihah,4,4,Master of the Day of Judgment.,1,1,1,1,Meccan,FALSE,3
1,The Opener,Al-Fatihah,5,5,You ˹alone˺ we worship and You ˹alone˺ we ask for help.,1,1,1,1,Meccan,FALSE,4
1,The Opener,Al-Fatihah,6,6,"Guide us along the Straight Path,",1,1,1,1,Meccan,FALSE,3
1,The Opener,Al-Fatihah,7,7,"the Path of those You have blessed—not those You are displeased with, or those who are astray.",1,1,1,1,Meccan,FALSE,9
2,The Cow,Al-Baqarah,1,8,Alif-Lãm-Mĩm.,2,1,1,1,Medinan,FALSE,1
2,The Cow,Al-Baqarah,2,9,This is the Book! There is no doubt about it,2,1,1,1,Medinan,FALSE,9
2,The Cow,Al-Baqarah,3,10,"who believe in the unseen, establish prayer, and donate from what We have provided for them,",2,1,1,1,Medinan,FALSE,8
2,The Cow,Al-Baqarah,4,11,"and who believe in what has been revealed to you ˹O Prophet˺ and what was revealed before you, and have sure faith in the Hereafter.",2,1,1,1,Medinan,FALSE,12
2,The Cow,Al-Baqarah,5,12,"It is they who are ˹truly˺ guided by their Lord, and it is they who will be successful.",2,1,1,1,Medinan,FALSE,9
2,The Cow,Al-Baqarah,6,13,"As for those who persist in disbelief, it is the same whether you warn them or not—they will never believe.",2,1,1,1,Medinan,FALSE,11
2,The Cow,Al-Baqarah,7,14,"Allah has sealed their hearts and their hearing, and their sight is covered. They will suffer a tremendous punishment.",2,1,1,1,Medinan,FALSE,14
2,The Cow,Al-Baqarah,8,15,"And there are some who say, “We believe in Allah and the Last Day,” yet they are not ˹true˺ believers.",3,1,1,1,Medinan,FALSE,11
2,The Cow,Al-Baqarah,9,16,"They seek to deceive Allah and the believers, yet they only deceive themselves, but they fail to perceive it.",3,1,1,1,Medinan,FALSE,10
2,The Cow,Al-Baqarah,10,17,"There is sickness in their hearts, and Allah ˹only˺ lets their sickness increase. They will suffer a painful punishment for their lies.",3,1,1,1,Medinan,FALSE,13
2,The Cow,Al-Baqarah,11,18,"When they are told, “Do not spread corruption in the land,” they reply, “We are only peace-makers!”",3,1,1,1,Medinan,FALSE,11
2,The Cow,Al-Baqarah,12,19,"Indeed, it is they who are the corruptors, but they fail to perceive it.",3,1,1,1,Medinan,FALSE,7
2,The Cow,Al-Baqarah,13,20,"And when they are told, “Believe as others believe,” they reply, “Will we believe as the fools believe?” Indeed, it is they who are fools, but they do not know.",3,1,1,1,Medinan,FALSE,20
2,The Cow,Al-Baqarah,14,21,"When they meet the believers they say, “We believe.” But when alone with their evil associates they say, “We are definitely with you; we were only mocking.”",3,1,1,1,Medinan,FALSE,16
2,The Cow,Al-Baqarah,15,22,"Allah will throw their mockery back at them, leaving them to continue wandering blindly in their defiance.",3,1,1,1,Medinan,FALSE,7
2,The Cow,Al-Baqarah,16,23,"They are the ones who trade guidance for misguidance. But this trade is profitless, and they are not ˹rightly˺ guided.",3,1,1,1,Medinan,FALSE,11
2,The Cow,Al-Baqarah,17,24,"Their example is that of someone who kindles a fire, but when it lights up all around them, Allah takes away their light, leaving them in complete darkness—unable to see.",3,1,1,1,Medinan,FALSE,17
2,The Cow,Al-Baqarah,18,25,"They are ˹wilfully˺ deaf, dumb, and blind, so they will never return ˹to the Right Path˺.",3,1,1,1,Medinan,FALSE,6
2,The Cow,Al-Baqarah,19,26,"Or ˹those caught in˺ a rainstorm from the sky with darkness, thunder, and lightning. They press their fingers into their ears at the sound of every thunder-clap for fear of death. And Allah encompasses the disbelievers ˹by His might˺.",3,1,1,1,Medinan,FALSE,20
2,The Cow,Al-Baqarah,20,27,"It is as if the lightning were about to snatch away their sight. Whenever lightning strikes, they walk in its light, but when darkness covers them, they stand still. Had Allah willed, He could have taken away their hearing and sight. Surely Allah is Most Capable of everything.",3,1,1,1,Medinan,FALSE,28
2,The Cow,Al-Baqarah,21,28,"O humanity! Worship your Lord, Who created you and those before you, so that you may become mindful ˹of Him˺.",4,1,1,1,Medinan,FALSE,11
2,The Cow,Al-Baqarah,22,29,"˹He is the One˺ Who has made the earth a place of settlement for you and the sky a canopy; and sends down rain from the sky, causing fruits to grow as a provision for you. So do not knowingly set up equals to Allah ˹in worship˺.",4,1,1,1,Medinan,FALSE,24
2,The Cow,Al-Baqarah,23,30,"And if you are in doubt about what We have revealed to Our servant, then produce a sûrah like it and call your helpers other than Allah, if what you say is true.",4,1,1,1,Medinan,FALSE,20
2,The Cow,Al-Baqarah,24,31,"But if you are unable to do so—and you will never be able to do so—then fear the Fire fuelled with people and stones, which is prepared for the disbelievers.",4,1,1,1,Medinan,FALSE,14
2,The Cow,Al-Baqarah,25,32,"Give good news ˹O Prophet˺ to those who believe and do good that they will have Gardens under which rivers flow. Whenever provided with fruit, they will say, “This is what we were given before,” for they will be served fruit that looks similar ˹but tastes different˺. They will have pure spouses, and they will be there forever.",4,1,1,1,Medinan,FALSE,39
2,The Cow,Al-Baqarah,26,33,"Surely Allah does not shy away from using the parable of a mosquito or what is even smaller. As for the believers, they know that it is the truth from their Lord. And as for the disbelievers, they argue, “What does Allah mean by such a parable?” Through this ˹test˺, He leaves many to stray, and guides many. And He leaves none to stray except the rebellious—",4,1,1,2,Medinan,FALSE,44
2,The Cow,Al-Baqarah,27,34,"those who violate Allah’s covenant after it has been affirmed, break whatever ˹ties˺ Allah has ordered to be maintained, and spread corruption in the land. It is they who are the ˹true˺ losers.",4,1,1,2,Medinan,FALSE,21
2,The Cow,Al-Baqarah,28,35,"How can you deny Allah? You were lifeless and He gave you life, then He will cause you to die and again bring you to life, and then to Him you will ˹all˺ be returned.",4,1,1,2,Medinan,FALSE,14
2,The Cow,Al-Baqarah,29,36,"He is the One Who created everything in the earth for you. Then He turned towards the heaven, forming it into seven heavens. And He has ˹perfect˺ knowledge of all things.",4,1,1,2,Medinan,FALSE,20
2,The Cow,Al-Baqarah,30,37,"˹Remember˺ when your Lord said to the angels, “I am going to place a successive ˹human˺ authority on earth.” They asked ˹Allah˺, “Will You place in it someone who will spread corruption there and shed blood while we glorify Your praises and proclaim Your holiness?” Allah responded, “I know what you do not know.”",5,1,1,2,Medinan,FALSE,30
2,The Cow,Al-Baqarah,31,38,"He taught Adam the names of all things, then He presented them to the angels and said, “Tell Me the names of these, if what you say is true?”",5,1,1,2,Medinan,FALSE,15
2,The Cow,Al-Baqarah,32,39,"They replied, “Glory be to You! We have no knowledge except what You have taught us. You are truly the All-Knowing, All-Wise.”",5,1,1,2,Medinan,FALSE,13
2,The Cow,Al-Baqarah,33,40,"Allah said, “O Adam! Inform them of their names.” Then when Adam did, Allah said, “Did I not tell you that I know the secrets of the heavens and the earth, and I know what you reveal and what you conceal?”",5,1,1,2,Medinan,FALSE,23
2,The Cow,Al-Baqarah,34,41,"And ˹remember˺ when We said to the angels, “Prostrate before Adam,” becoming unfaithful.",5,1,1,2,Medinan,FALSE,13
2,The Cow,Al-Baqarah,35,42,"We cautioned, “O Adam! Live with your wife in Paradise and eat as freely as you please, but do not approach this tree, or else you will be wrongdoers.”",5,1,1,2,Medinan,FALSE,18
2,The Cow,Al-Baqarah,36,43,"But Satan deceived them—leading to their fall from the ˹blissful˺ state they were in, You will find in the earth a residence and provision for your appointed stay.”",5,1,1,2,Medinan,FALSE,21
2,The Cow,Al-Baqarah,37,44,"Then Adam was inspired with words ˹of prayer˺ by his Lord, so He accepted his repentance. Surely He is the Accepter of Repentance, Most Merciful.",5,1,1,2,Medinan,FALSE,12
2,The Cow,Al-Baqarah,38,45,"We said, “Descend all of you! Then when guidance comes to you from Me, whoever follows it, there will be no fear for them, nor will they grieve.",5,1,1,2,Medinan,FALSE,18
